latin_form    , pn_type      , pn_gender, pn_person, pn_number, pn_case   , chapter

ego           , personal     , N/A      , 1st      , singular , nominative,       3
meī           , personal     , N/A      , 1st      , singular , genitive  ,      12
mihi          , personal     , N/A      , 1st      , singular , dative    ,      12
mē            , personal     , N/A      , 1st      , singular , accusative,      12
mē            , personal     , N/A      , 1st      , singular , ablative  ,      12
nōs           , personal     , N/A      , 1st      , plural   , nominative,       3
nostrum/nostrī, personal     , N/A      , 1st      , plural   , genitive  ,      12
nōbīs         , personal     , N/A      , 1st      , plural   , dative    ,      12
nōs           , personal     , N/A      , 1st      , plural   , accusative,      12
nōbīs         , personal     , N/A      , 1st      , plural   , ablative  ,      12

tū            , personal     , N/A      , 2nd      , singular , nominative,       3
tuī           , personal     , N/A      , 2nd      , singular , genitive  ,      12
tibi          , personal     , N/A      , 2nd      , singular , dative    ,      12
tē            , personal     , N/A      , 2nd      , singular , accusative,      12
tē            , personal     , N/A      , 2nd      , singular , ablative  ,      12
vōs           , personal     , N/A      , 2nd      , plural   , nominative,       3
vestrum/vestrī, personal     , N/A      , 2nd      , plural   , genitive  ,      12
vōbīs         , personal     , N/A      , 2nd      , plural   , dative    ,      12
vōs           , personal     , N/A      , 2nd      , plural   , accusative,      12
vōbīs         , personal     , N/A      , 2nd      , plural   , ablative  ,      12

is            , personal     , masculine, 3rd      , singular , nominative,      12
eius          , personal     , masculine, 3rd      , singular , genitive  ,      12
eī            , personal     , masculine, 3rd      , singular , dative    ,      12
eum           , personal     , masculine, 3rd      , singular , accusative,      12
eō            , personal     , masculine, 3rd      , singular , ablative  ,      12
eī/iī         , personal     , masculine, 3rd      , plural   , nominative,      12
eōrum         , personal     , masculine, 3rd      , plural   , genitive  ,      12
eīs/iīs       , personal     , masculine, 3rd      , plural   , dative    ,      12
eōs           , personal     , masculine, 3rd      , plural   , accusative,      12
eīs/iīs       , personal     , masculine, 3rd      , plural   , ablative  ,      12

ea            , personal     , feminine , 3rd      , singular , nominative,      12
eius          , personal     , feminine , 3rd      , singular , genitive  ,      12
eī            , personal     , feminine , 3rd      , singular , dative    ,      12
eam           , personal     , feminine , 3rd      , singular , accusative,      12
eā            , personal     , feminine , 3rd      , singular , ablative  ,      12
eae           , personal     , feminine , 3rd      , plural   , nominative,      12
eārum         , personal     , feminine , 3rd      , plural   , genitive  ,      12
eīs/iīs       , personal     , feminine , 3rd      , plural   , dative    ,      12
eās           , personal     , feminine , 3rd      , plural   , accusative,      12
eīs/iīs       , personal     , feminine , 3rd      , plural   , ablative  ,      12

id            , personal     , neuter   , 3rd      , singular , nominative,      12
eius          , personal     , neuter   , 3rd      , singular , genitive  ,      12
eī            , personal     , neuter   , 3rd      , singular , dative    ,      12
id            , personal     , neuter   , 3rd      , singular , accusative,      12
eō            , personal     , neuter   , 3rd      , singular , ablative  ,      12
ea            , personal     , neuter   , 3rd      , plural   , nominative,      12
eōrum         , personal     , neuter   , 3rd      , plural   , genitive  ,      12
eīs/iīs       , personal     , neuter   , 3rd      , plural   , dative    ,      12
ea            , personal     , neuter   , 3rd      , plural   , accusative,      12
eīs/iīs       , personal     , neuter   , 3rd      , plural   , ablative  ,      12

quī           , relative     , masculine, N/A      , singular , nominative,      14
cūius         , relative     , masculine, N/A      , singular , genitive  ,      14
cui           , relative     , masculine, N/A      , singular , dative    ,      14
quem          , relative     , masculine, N/A      , singular , accusative,      14
quō           , relative     , masculine, N/A      , singular , ablative  ,      14
quī           , relative     , masculine, N/A      , plural   , nominative,      14
quōrum        , relative     , masculine, N/A      , plural   , genitive  ,      14
quibus        , relative     , masculine, N/A      , plural   , dative    ,      14
quōs          , relative     , masculine, N/A      , plural   , accusative,      14
quibus        , relative     , masculine, N/A      , plural   , ablative  ,      14

quae          , relative     , feminine , N/A      , singular , nominative,      14
cūius         , relative     , feminine , N/A      , singular , genitive  ,      14
cui           , relative     , feminine , N/A      , singular , dative    ,      14
quam          , relative     , feminine , N/A      , singular , accusative,      14
quā           , relative     , feminine , N/A      , singular , ablative  ,      14
quae          , relative     , feminine , N/A      , plural   , nominative,      14
quārum        , relative     , feminine , N/A      , plural   , genitive  ,      14
quibus        , relative     , feminine , N/A      , plural   , dative    ,      14
quās          , relative     , feminine , N/A      , plural   , accusative,      14
quibus        , relative     , feminine , N/A      , plural   , ablative  ,      14

quod          , relative     , neuter   , N/A      , singular , nominative,      14
cūius         , relative     , neuter   , N/A      , singular , genitive  ,      14
cui           , relative     , neuter   , N/A      , singular , dative    ,      14
quod          , relative     , neuter   , N/A      , singular , accusative,      14
quō           , relative     , neuter   , N/A      , singular , ablative  ,      14
quae          , relative     , neuter   , N/A      , plural   , nominative,      14
quōrum        , relative     , neuter   , N/A      , plural   , genitive  ,      14
quibus        , relative     , neuter   , N/A      , plural   , dative    ,      14
quae          , relative     , neuter   , N/A      , plural   , accusative,      14
quibus        , relative     , neuter   , N/A      , plural   , ablative  ,      14

quis          , interrogative, masculine, N/A      , singular , nominative,      15
cūius         , interrogative, masculine, N/A      , singular , genitive  ,      15
cui           , interrogative, masculine, N/A      , singular , dative    ,      15
quem          , interrogative, masculine, N/A      , singular , accusative,      15
quō           , interrogative, masculine, N/A      , singular , ablative  ,      15
quī           , interrogative, masculine, N/A      , plural   , nominative,      15
quōrum        , interrogative, masculine, N/A      , plural   , genitive  ,      15
quibus        , interrogative, masculine, N/A      , plural   , dative    ,      15
quōs          , interrogative, masculine, N/A      , plural   , accusative,      15
quibus        , interrogative, masculine, N/A      , plural   , ablative  ,      15

quis          , interrogative, feminine , N/A      , singular , nominative,      15
cūius         , interrogative, feminine , N/A      , singular , genitive  ,      15
cui           , interrogative, feminine , N/A      , singular , dative    ,      15
quem          , interrogative, feminine , N/A      , singular , accusative,      15
quō           , interrogative, feminine , N/A      , singular , ablative  ,      15
quae          , interrogative, feminine , N/A      , plural   , nominative,      15
quārum        , interrogative, feminine , N/A      , plural   , genitive  ,      15
quibus        , interrogative, feminine , N/A      , plural   , dative    ,      15
quās          , interrogative, feminine , N/A      , plural   , accusative,      15
quibus        , interrogative, feminine , N/A      , plural   , ablative  ,      15

quid          , interrogative, neuter   , N/A      , singular , nominative,      15
cūius         , interrogative, neuter   , N/A      , singular , genitive  ,      15
cui           , interrogative, neuter   , N/A      , singular , dative    ,      15
quid          , interrogative, neuter   , N/A      , singular , accusative,      15
quō           , interrogative, neuter   , N/A      , singular , ablative  ,      15
quae          , interrogative, neuter   , N/A      , plural   , nominative,      15
quōrum        , interrogative, neuter   , N/A      , plural   , genitive  ,      15
quibus        , interrogative, neuter   , N/A      , plural   , dative    ,      15
quae          , interrogative, neuter   , N/A      , plural   , accusative,      15
quibus        , interrogative, neuter   , N/A      , plural   , ablative  ,      15

hic           , demonstrative, masculine, N/A      , singular , nominative,      19
huius         , demonstrative, masculine, N/A      , singular , genitive  ,      19
huic          , demonstrative, masculine, N/A      , singular , dative    ,      19
hunc          , demonstrative, masculine, N/A      , singular , accusative,      19
hōc           , demonstrative, masculine, N/A      , singular , ablative  ,      19
hī            , demonstrative, masculine, N/A      , plural   , nominative,      19
hōrum         , demonstrative, masculine, N/A      , plural   , genitive  ,      19
hīs           , demonstrative, masculine, N/A      , plural   , dative    ,      19
hōs           , demonstrative, masculine, N/A      , plural   , accusative,      19
hīs           , demonstrative, masculine, N/A      , plural   , ablative  ,      19

haec          , demonstrative, feminine , N/A      , singular , nominative,      19
huius         , demonstrative, feminine , N/A      , singular , genitive  ,      19
huic          , demonstrative, feminine , N/A      , singular , dative    ,      19
hanc          , demonstrative, feminine , N/A      , singular , accusative,      19
hāc           , demonstrative, feminine , N/A      , singular , ablative  ,      19
hae           , demonstrative, feminine , N/A      , plural   , nominative,      19
hārum         , demonstrative, feminine , N/A      , plural   , genitive  ,      19
hīs           , demonstrative, feminine , N/A      , plural   , dative    ,      19
hās           , demonstrative, feminine , N/A      , plural   , accusative,      19
hīs           , demonstrative, feminine , N/A      , plural   , ablative  ,      19

hoc           , demonstrative, neuter   , N/A      , singular , nominative,      19
huius         , demonstrative, neuter   , N/A      , singular , genitive  ,      19
huic          , demonstrative, neuter   , N/A      , singular , dative    ,      19
hoc           , demonstrative, neuter   , N/A      , singular , accusative,      19
hōc           , demonstrative, neuter   , N/A      , singular , ablative  ,      19
haec          , demonstrative, neuter   , N/A      , plural   , nominative,      19
